(US$ in millions),"June 30, 2024","June 30, 2023"
Accrued income on derivative instruments,"$ 1,397","$ 1,131"
Pension and other post-retirement benefits receivable from IBRD,774,704
Accrued interest income on loans,658,524
Receivables from sales of securities,557,791
Post-retirement contribution reserve fund,344,385
Assets under retirement benefit plans,293,246
Accrued interest income on time deposits and securities,261,243
Fixed assets,"1,429","1,346"
Less: Accumulated depreciation,(871),(819)
"Fixed assets, net",558,527
Deferred charges and other assets,"1,330","1,294"
Total receivables and other assets,"$ 6,172","$ 5,845"
