(US$ in millions),Mechanism for Technical Assistance and Advisory Services,Creating Markets Advisory Window,Small and Medium Enterprise Ventures,Total Designated Retained Earnings
"As of June 30, 2021",$ 42,$ 151,$ 14,$ 207
"Year ended June 30, 2022",,,,
Designations of retained earnings,72,89,-,161
Expenditures against designated retained earnings,(36),(33),(1),(70)
"As of June 30, 2022",$ 78,$ 207,$ 13,$ 298
"Year ended June 30, 2023",,,,
Designations of retained earnings,6,-,-,6
Expenditures against designated retained earnings,(36),(46),(1),(83)
"As of June 30, 2023",$ 48,$ 161,$ 12,$ 221
"Year ended June 30, 2024",,,,
Designations of retained earnings,60,-,-,60
Expenditures against designated retained earnings,(50),(68),(1),(119)
"As of June 30, 2024",$ 58,$ 93,$ 11,$ 162
