(US$ in millions),"For the year ended.June 30, 2024","For the year ended.June 30, 2023","For the year ended.June 30, 2022"
"Unrealized gains and losses on loans, debt securities and associated derivatives:",,,
Unrealized gains (losses) on loans under the Fair Value Option,$ 74,$ 9,$ (95)
Unrealized (losses) gains on derivatives associated with loans,(102),172,389
Unrealized gains (losses) on debt securities under the Fair Value Option,206,(55),(532)
Unrealized gains on derivatives associated with debt securities,4,49,115
"Total net unrealized gains (losses) on loans, debt securities and associated derivatives",182,175,(123)
"Unrealized gains and losses on borrowings from market, IDA and associated derivatives:",,,
Unrealized (losses) gains on market borrowings accounted for at fair value,(623),265,"3,795"
Unrealized gains (losses) on derivatives associated with market borrowings,573,(320),"(3,928)"
Unrealized (losses) gains on borrowings from IDA accounted for at fair value,(4),5,27
"Total net unrealized losses on borrowings from market, IDA and associated derivatives",(54),(50),(106)
Net unrealized gains and losses on non-trading financial instruments accounted for at fair value,$ 128,$ 125,$ (229)
