(US$ in millions).Sector,"June 30, 2023.Valuation technique","June 30, 2023.Fair value","June 30, 2023.Significant inputs","June 30, 2023.Range","June 30, 2023.Weighted average (%)"
Banking and other financial,Discounted cash flows,$ 517,Cost of equity (%),11.0 - 26.0,13.7
Institutions,,,Asset growth rate (%),(1.5) - 56.6,8.6
,,,Return on assets (%),0.3 - 8.7,2
,,,Perpetual growth rate (%),2.5 - 13.0,5.2
,Market comparables,400,Price to book value,0.3 - 1.5,1.3
,,,EV/Sales,1.5 - 15.4,9.6
,Listed price (adjusted),199,Discount for lack of marketability (%),*,35.0
,Recent transactions,380,,,
,Other techniques,180,,,
,Associated options b,31,,,
Total banking and other financial institutions,,"1,707",,,
Funds,Recent transactions,106,,,
,,53,,,
,Other techniques,,,,
Total funds,,159,,,
Others,Discounted cash flows,896,Weighted average cost of capital (%),7.2 - 29.8,11.5
,,,Cost of equity (%),9.7 - 25.5,14.9
,Market comparables,746,EV/Sales,0.7 - 20.3,4.2
,,,EV/EBITDA,4.2 - 22.0,14
,,,Price to book value,0.6 - 2.4,1.8
,,,Other valuation multiples a,,
,Recent transactions,521,,,
,Other techniques,81,,,
,Associated options b,91,,,
Total others,,"2,335",,,
Total,,"$ 4,201",,,
