(US$ in millions),"For the year ended June 30, 2022..Balance as of July 01, 2021","For the year ended June 30, 2022.Net gains and.Net income (loss)","For the year ended June 30, 2022.(losses) (realized unrealized) included in.Other comprehensive income","For the year ended June 30, 2022..Purchases, issuances, sales, settlements and others","For the year ended June 30, 2022..Transfers into Level 3 a","For the year ended June 30, 2022..Transfers out of Level 3 b","For the year ended June 30, 2022..Balance as of June 30, 2022","For the year ended June 30, 2022.Net unrealized gains (losses) included in net.income (loss) related to assets / liabilities held at year end","For the year ended June 30, 2022.Net gains included in.income (loss) related to liabilities held year end",unrealized (losses) other.comprehensive assets / at
Trading securities:,,,,,,,,,,
Asset-backed securities,$ -,$ -,$ -,$ 30,$ -,$ (30),$ -,$ -,$,-
Corporate debt securities,-,(4),-,120,-,(109),7,(1),,-
Government and agency obligations,271,9,-,126,-,(234),172,(10),,-
Total trading securities,271,5,-,276,-,(373),179,(11),$,-
Loans,"1,313",(122),-,171,-,(59),"1,303",(122),,-
Equity investments:,,,,,,,,,,
Banking and other financial institutions,"1,663",62,-,(152),-,-,"1,573",(65),,-
Funds,16,(4),-,31,-,-,43,,(6),-
Others,"2,989",36,-,(233),-,(344),"2,448",(16),,-
Total equity investments,"4,668",94,-,(354),-,(344),"4,064",(87),,-
Debt securities:,,,,,,,,,,
Corporate debt securities,"3,985",(425),(153),318,884,(539),"4,070",(335),,(165)
Preferred shares,483,(99),(19),(181),-,-,184,17,,8
Asset-backed securities,892,(72),(35),32,-,-,817,(68),,(44)
Total debt securities,"5,360",(596),(207),169,884,(539),"5,071",(386),,(201)
Derivative assets:,,,,,,,,,,
Interest rate and currency,26,12,-,9,10,(22),35,27,,-
Equity and other,133,(57),-,1,-,-,77,(57),,-
Total derivative assets,159,(45),-,10,10,(22),112,(30),,-
Total assets at fair value,"$ 11,771",$ (664),$ (207),$ 272,$ 894,"$ (1,337)","$ 10,729",$,(636) $,(201)
Borrowings:,,,,,,,,,,
Unstructured bonds,$ (90) $,3,$ -,$ (214),$ (44) $,113,$ (232),$ 3,$,-
Total borrowings,(90),3,-,(214),(44),113,(232),3,,-
Derivative liabilities:,,,,,,,,,,
Interest rate and currency,(10),4,-,(17),(21),10,(34),,(23),-
Equity and other,(5),1,-,-,-,-,(4),,1,-
Total derivative liabilities,(15),5,-,(17),(21),10,,(38),(22),-
Total liabilities at fair value,$ (105),$ 8,$ -,$ (231),$ (65),$ 123,$ (270),$,(19) $,-
