Function, Person
President,Ajay Banga
Managing Director,Makhtar Diop
"Regional Vice President, Africa",Sérgio Pimenta
"Regional Vice President, Europe, Latin America and the Caribbean",Alfonso García Mora
"Regional Vice President, Middle East, Central Asia, Türkiye, Afghanistan and Pakistan",Hela Cheikhrouhou
"Regional Vice President, Asia and the Pacific",Riccardo Puliti
"Vice President, Cross-Cutting Solutions",Emmanuel Nyirinkindi
"Vice President, Corporate Support",Elena Bourganskaia
"Vice President, Economics and Private Sector Development",Susan M. Lund
"Vice President and General Counsel, Legal, Institutional Risk, and Governance",Ramit Nagpal
"Vice President, Industries",Mohamed Gouled
"Vice President, Risk and Finance",Federico Galizia
"Vice President, Treasury & Mobilization",John Gandolfo
