Acronym, Abberviation
PBAC,Pension Benefits Administration Committee
PCRF,Post-retirement Contributions Reserve Fund
PEBP,Post-Employment Benefit Plan
PFC,Pension Finance Committee
PPP,Public-Private Partnership
PRI,Political Risk Insurance
PSW,Private Sector Window
RA,Risk Appetite
RCSA,Risk and Control Self-Assessments
RIs,Risk Indicators
RSBP,Retired Staff Benefits Plan
SCI,Selective Capital Increase
SLAs,Service Level Agreements
SMEs,Small and Medium Enterprises
SOFR,Secured Overnight Financing Rate
SRP,Staff Retirement Plan
STF,Short-Term Finance
T3PC,Tier III Project Committee
VPU,Vice Presidency Unit
