(US$ in millions),2024,2023,2022
Net income (loss) - Note S,"$ 1,485",$ 672,$ (464)
Other comprehensive income,,,
Unrealized gains and losses on debt securities,,,
Net unrealized gains (losses) on available-for-sale debt securities arising during the year .......................................................................................................................................,110,120,(254)
Reclassification adjustment for realized gains included in net income (income from debt securities and realized gains and losses on debt securities and associated derivatives) ..........................................................................................................................,(1),(65),(38)
Reclassification adjustment for impairments related to credit loss included in net income .................................................................................................................................,12,7,14
Net unrealized gains (losses) on debt securities,121,62,(278)
Unrealized gains and losses on borrowings,,,
Net unrealized gains (losses) arising during the year attributable to instrument- specific credit risk on borrowings at fair value under the fair value option ................,$ 62,(62),239
Reclassification adjustment for realized gains included in net income upon derecognition of borrowings ..............................................................................................,12,12,1
Net unrealized gains (losses) on borrowings,74,(50),240
Net unrecognized net actuarial gains and unrecognized prior service credits on benefit plans - Note V ........................................................................................................,130,702,"1,074"
Total other comprehensive income,325,714,"1,036"
Total comprehensive income,"$ 1,810","$ 1,386",$ 572
