(US$ in millions),2024,2023,2022
Supplemental disclosure,,,
Change in ending balances resulting from currency exchange rate fluctuations:,,,
Loans outstanding,$ (356),$ 114,$ (635)
Debt securities ....................................................................................................................................................,(175),15,(454)
Loan and debt security-related currency swaps ...........................................................................................,566,(115),972
Borrowings ..........................................................................................................................................................,360,187,"3,209"
Borrowing-related currency swaps ..................................................................................................................,(333),(173),"(3,156)"
"Charges on borrowings paid, net","$ 3,875","$ 2,183",$ 186
Non-cash items:,,,
"Loan and debt security conversion to equity, net",$ 21,$ 101,$ 54
