FOR THE YEAR ENDED JUNE 30 (US$ in millions),2024,2023,2022
Consolidated statement of operations highlights:,,,
"Income from loans and guarantees, including realized gains and losses on loans and associated derivatives","$ 3,204","$ 2,290","$ 1,156"
"Provision for losses on loans, off-balance sheet credit exposures and other receivables",(9),(22),(126)
Income from equity investments and associated derivatives,142,191,208
"Income from debt securities, including realized gains and losses on debt securities and associated derivatives",811,518,414
Provision for losses on available-for-sale debt securities,(12),(7),(14)
Income (loss) from liquid asset trading activities,"2,391","1,464",(413)
Charges on borrowings,"(3,815)","(2,598)",(302)
Other income,587,518,419
Other expenses,"(1,827)","(1,721)","(1,653)"
Foreign currency transaction (losses) gains on non-trading activities,(115),(86),76
Income (loss) before net unrealized gains and losses on non-trading financial instruments accounted for at fair value and grants to IDA,"$ 1,357",$ 547,$ (235)
Net unrealized gains (losses) on non-trading financial instruments accounted for at fair value,128,125,(229)
Net income (loss),"$ 1,485",$ 672,$ (464)
