AS OF THE YEAR ENDED JUNE 30 (US$ in millions),2024,2023
Consolidated balance sheet highlights:,,
Total assets,"$108,187","$ 110,547"
Liquid assets a,"37,734","40,120"
Investments,"58,747","51,502"
"Borrowings outstanding, including fair value adjustments","55,755","52,443"
Total capital,"$ 37,472","$ 35,038"
of which,,
Undesignated retained earnings,"$ 13,133","$ 11,589"
Designated retained earnings,162,221
Accumulated other comprehensive income (AOCI),957,632
Paid-in capital,"23,220","22,596"
