"(US$ in millions).Originated during the year ended June 30,","June 30, 2023.Loans at Amortized cost basis by Risk class.Very Strong","June 30, 2023.Loans at Amortized cost basis by Risk class.Strong","June 30, 2023.Loans at Amortized cost basis by Risk class.Adequate","June 30, 2023.Loans at Amortized cost basis by Risk class.Moderate","June 30, 2023.Loans at Amortized cost basis by Risk class.Weak","June 30, 2023.Loans at Amortized cost basis by Risk class.Very Weak/ Special Attention","June 30, 2023.Loans at Amortized cost basis by Risk class.Very Weak/ Substandard","June 30, 2023.Loans at Amortized cost basis by Risk class.Extremely Weak/ Doubtful","June 30, 2023.Loans at Amortized cost basis by Risk class.Imminent Default/ Default","June 30, 2023.Loans at Amortized cost basis by Risk class.Total Contracts"
2023,$ -,$ 590,"$ 1,525","$ 2,475","$1,559",$ 72,$ 20,$ 4,$ -,"$ 6,245"
2022,-,470,"1,186","2,255","1,471",143,-,62,-,"5,587"
2021,-,66,"1,456","2,608","1,409",145,21,-,10,"5,715"
2020,69,-,"1,129","1,196",586,257,59,91,6,"3,393"
2019,-,127,295,832,782,182,18,52,52,"2,340"
Prior,40,222,885,"1,454","2,241",427,166,189,643,"6,267"
Total,$ 109,"$1,475","$ 6,476","$ 10,820","$8,048","$ 1,226",$ 284,$ 398,$ 711,"$ 29,547"
Revolving Loans,-,-,-,"1,569",86,-,25,-,-,"1,680"
Revolving contracts converted to Term contracts,-,-,7,10,-,-,-,-,-,17
Total disbursed loans,$ 109,"$1,475","$ 6,483","$ 12,399","$8,134","$ 1,226",$ 309,$ 398,$ 711,"$ 31,244"
"Unamortized deferred loan origination fees, net and other","Unamortized deferred loan origination fees, net and other","Unamortized deferred loan origination fees, net and other","Unamortized deferred loan origination fees, net and other","Unamortized deferred loan origination fees, net and other","Unamortized deferred loan origination fees, net and other","Unamortized deferred loan origination fees, net and other","Unamortized deferred loan origination fees, net and other","Unamortized deferred loan origination fees, net and other","Unamortized deferred loan origination fees, net and other",(127)
Loans at amortized cost,Loans at amortized cost,Loans at amortized cost,Loans at amortized cost,Loans at amortized cost,Loans at amortized cost,Loans at amortized cost,Loans at amortized cost,Loans at amortized cost,Loans at amortized cost,"$ 31,117"
