0,1,2,3,4,5,6,7,8,9,10
"June 30, 2023","June 30, 2023","June 30, 2023","June 30, 2023","June 30, 2023","June 30, 2023","June 30, 2023","June 30, 2023","June 30, 2023","June 30, 2023","June 30, 2023"
(US$ in millions),Very Strong,Strong,Adequate,Moderate,Weak,Very Weak/ Special Attention,Very Weak/ Substandard,Extremely Weak/ Doubtful,Imminent Default/ Default,Total
Industry Sector,,,,,,,,,,
"Manufacturing, agribusiness and services",$ 109,$ 770,"$ 2,992","$ 4,147","$ 1,685",$ 339,$ 223,$ 145,$ 322,"$10,732"
Financial markets,-,638,"2,626","6,676","3,686",155,28,36,52,"13,897"
Infrastructure and natural resources,-,67,865,"1,576","2,763",732,58,217,333,"6,611"
Disruptive technologies and funds,-,-,-,-,-,-,-,-,4,4
Total industry sector,$ 109,"$1,475","$ 6,483","$ 12,399","$ 8,134","$ 1,226",$ 309,$ 398,$ 711,"$31,244"
"Unamortized deferred loan origination fees, net and other","Unamortized deferred loan origination fees, net and other","Unamortized deferred loan origination fees, net and other","Unamortized deferred loan origination fees, net and other","Unamortized deferred loan origination fees, net and other","Unamortized deferred loan origination fees, net and other","Unamortized deferred loan origination fees, net and other","Unamortized deferred loan origination fees, net and other","Unamortized deferred loan origination fees, net and other","Unamortized deferred loan origination fees, net and other",(127)
Loans at amortized cost,Loans at amortized cost,Loans at amortized cost,Loans at amortized cost,Loans at amortized cost,Loans at amortized cost,Loans at amortized cost,Loans at amortized cost,Loans at amortized cost,Loans at amortized cost,"$31,117"
