0,1,2,3,4,5,6
"For the year ended June 30, 2024","For the year ended June 30, 2024","For the year ended June 30, 2024","For the year ended June 30, 2024","For the year ended June 30, 2024","For the year ended June 30, 2024","For the year ended June 30, 2024"
(US$ in millions),"Interest Rate Reduction, Term Extension and Payment Delay",Payment Delay,Term Extension and Payment Delay,Total Loan Modification a,% of total loans,Total loans by region and industry
Africa,,,,,,
"Manufacturing, agribusiness and services",$ 3,$ 1,$ 13,$ 17,0.8 %,"$ 2,197"
Infrastructure and natural resources,-,-,29,29,1.5,"1,994"
Total Africa,3,1,42,46,0.6,"7,774"
Asia and Pacific,,,,,,
"Manufacturing, agribusiness and services",-,11,-,11,0.4,"2,942"
Infrastructure and natural resources,-,-,6,6,0.4,"1,591"
Total Asia and Pacific,-,11,6,17,0.2,"9,933"
"Latin America and the Caribbean, and Europe",,,,,,
"Manufacturing, agribusiness and services",73,24,-,97,2.0,"4,939"
Financial markets,0,0,4,4,0.1,"4,639"
Infrastructure and natural resources,15,72,6,93,4.0,"2,302"
"Total Latin America and the Caribbean, and Europe",88,96,10,194,1.6,"11,897"
"Middle East, Central Asia, Türkiye, Pakistan, and Afghanistan",,,,,,
Infrastructure and natural resources,-,25,60,85,6.7,"1,265"
"Total Middle East, Central Asia, Türkiye, Pakistan, and Afghanistan",-,25,60,85,1.9,"4,397"
Total,$ 91,$ 133,$ 118,$ 342,1.0 %,"$ 35,875"
